1 input_baseline.asc: UAV Cruise and Target Attack ' UAV ' Apr 20 2022 23:45:25
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
0               0.854382        0               -1.85961        11790           
0.640464        14.7003         35.4            7000            200.021         
90.0005         -0.0560967      -4.67125e-05    10.0005         0.00489589      
-0.0018685      200.021         0.195836        4               133.668         
1342.26         3.81163         90              0               0.189791        
0               0.171481        -3.5            -600.613        -3.5            
0.119716        2.79005         0.00299291      1.02204         -1              
0               -0.195836       7000            23999.9         0               
0               0               0               0               0               
0               0               0               
0.2             1.19031         -1.33919        -3.26759        11813.4         
0.641094        14.7008         35.4            6999.81         200.26          
89.9725         -0.47077        0.00503778      50.0273         0.19367         
0.0962126       200.253         1.64542         6               133.668         
1676.51         7.18966         90              0               0.357499        
0               1.76957         -27.3398        -319.642        -27.3398        
0.168259        2.775           0.0308848       1.32147         -1              
-0.136677       -1.64542        7000            23984.9         0               
0               0               0               0               0               
0               0               0               
0.4             1.08519         -3.83774        -4.65377        11843.7         
0.6419          14.7012         35.4            6999.36         200.511         
89.8307         -0.800617       0.0660963       90.102          0.64269         
0.592565        200.491         2.80173         6               133.669         
1676.5          10.0846         90              0               0.608222        
0               3.89239         -42.7403        -188.095        -42.7403        
0.233091        2.7715          0.0679351       1.77772         -1              
-0.391678       -2.80173        7000            23969.9         0               
0               0               0               0               0               
0               0               0               
0.6             0.748634        -7.20239        -5.9335         11872.1         
0.642639        14.7016         35.4            6998.7          200.732         
89.5213         -1.05461        0.282504        130.221         1.29631         
1.67677         200.691         3.69454         6               133.669         
1676.5          9.96636         90              0               0.93948         
0               6.65779         -52.5811        -121.844        -52.5811        
0.307669        2.76806         0.1162          2.33158         -1              
-0.735073       -3.69454        7000            23954.8         0               
0               0               0               0               0               
0               0               0               
0.8             0.00681562      -11.3685        -7.22836        11891.7         
0.643136        14.7021         35.4            6997.9          200.857         
88.9969         -1.23528        0.788728        170.371         2.10286         
3.51559         200.78          4.33007         6               133.669         
1676.49         8.01098         90              0               1.35729         
0               10.0692         -58.8694        -84.3649        -58.8694        
0.380999        2.76529         0.17574         2.91361         -1              
-1.16026        -4.33007        7000            23939.4         0               
0               0               0               0               0               
0               0               0               
1               -1.2452         -15.9645        -8.52924        11891.9         
0.643102        14.7025         35.4            6996.99         200.792         
88.2179         -1.34132        1.75019         210.517         3.01001         
6.24256         200.639         4.7002          6               133.669         
1676.49         6.15561         90              0               1.82947         
0               13.6731         -62.2079        -62.6021        -62.2079        
0.375889        2.76431         0.238641        3               -1              
-1.62933        -4.7002         7000            23923.7         0               
0               0               0               0               0               
0               0               0               
1.2             -2.19362        -18.2036        -10.1173        11862.5         
0.642264        14.703          35.4            6996.04         200.478         
87.2162         -1.36014        3.34046         250.604         3.96137         
9.73398         200.185         4.7587          6               133.67          
1676.5          5.34797         90              0               2.11103         
0               15              -60.2313        -54.2566        -60.2313        
0.371244        2.76665         0.293915        3               -1              
-1.85785        -4.7587         7000            23907.5         0               
0               0               0               0               0               
0               0               0               
1.4             -2.1715         -17.7092        -10.8323        11819.5         
0.641055        14.7034         35.4001         6995.1          200.104         
86.191          -1.31647        5.6445          290.584         4.8992          
13.2894         199.609         4.59733         6               133.67          
1676.51         5.36152         90              0               2.10387         
0               15              -58.1093        -54.4413        -58.1093        
0.403521        2.77128         0.349169        3               -1              
-1.80739        -4.59733        7000            23890.8         0               
0               0               0               0               0               
0               0               0               
1.6             -2.14956        -17.371         -11.2452        11776.7         
0.639853        14.7039         35.4001         6994.21         199.731         
85.1876         -1.24103        8.64986         330.444         5.79279         
16.752          198.98          4.32583         6               133.67          
1676.52         5.3751          90              0               2.09674         
0               15              -56.8198        -54.6261        -56.8198        
0.429974        2.77591         0.406629        2.95804         -1              
-1.77287        -4.32583        7000            23873.5         0               
0               0               0               0               0               
0               0               0               
1.8             -2.12773        -17.1435        -11.4705        11734.1         
0.638655        14.7043         35.4001         6993.37         199.36          
84.1985         -1.14754        12.3407         370.173         6.62532         
20.1477         198.299         3.99258         6               133.671         
1676.53         5.38872         90              0               2.08964         
0               15              -56.0627        -54.8117        -56.0627        
0.449877        2.78055         0.464288        2.88443         -1              
-1.74965        -3.99258        7000            23855.6         0               
0               0               0               0               0               
0               0               0               
2               -2.10597        -16.9905        -11.5789        11691.5         
